"DisplayName","DisplayVersion","Publisher","InstallDate"
"Adobe Acrobat (64-bit)","26.001.21691","Adobe","20260628"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20260209"
"Application Verifier x64 External Package","10.1.19041.685","Microsoft","20240912"
"Application Verifier x64 External Package (DesktopEditions)","10.1.26100.7705","Microsoft","20260306"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.26100.7705","Microsoft","20260306"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework","4.8.09256","Microsoft Corporation","20260306"
"DiagnosticsHub_CollectionService","18.5.37003","Microsoft Corporation","20260419"
"Entity Framework 6.5.0 Tools  for Visual Studio 2022","6.5.0.0","Microsoft Corporation","20260306"
"Git","2.46.0","The Git Development Community","20240912"
"Google Chrome","150.0.7871.184","Google LLC","20260724"
"icecap_collection_neutral","18.5.11709","Microsoft Corporation","20260419"
"icecap_collection_x64","18.5.11709","Microsoft Corporation","20260419"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20260306"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20260306"
"Kits Configuration Installer","10.1.26100.7705","Microsoft","20260306"
"Microsoft .NET 10.0 Templates 10.0.202 x64","40.10.62758","Microsoft Corporation","20260419"
"Microsoft .NET AppHost Pack - 10.0.6 (x64)","80.24.50533","Microsoft Corporation","20260419"
"Microsoft .NET AppHost Pack - 10.0.6 (x64_arm64)","80.24.50533","Microsoft Corporation","20260419"
"Microsoft .NET AppHost Pack - 10.0.6 (x64_x86)","80.24.50533","Microsoft Corporation","20260419"
"Microsoft .NET Framework 4.7.2 Targeting Pack","4.7.03062","Microsoft Corporation","20260306"
"Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)","4.7.03062","Microsoft Corporation","20260306"
"Microsoft .NET Framework 4.8 SDK","4.8.03928","Microsoft Corporation","20260306"
"Microsoft .NET Framework 4.8 Targeting Pack","4.8.03761","Microsoft Corporation","20260306"
"Microsoft .NET Framework 4.8 Targeting Pack (ENU)","4.8.03761","Microsoft Corporation","20260306"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)","4.8.09037","Microsoft Corporation","20260306"
"Microsoft .NET Host - 10.0.6 (x64)","80.24.50533","Microsoft Corporation","20260419"
"Microsoft .NET Host - 10.0.6 (x86)","80.24.50533","Microsoft Corporation","20260419"
"Microsoft .NET Host FX Resolver - 10.0.6 (x64)","80.24.50533","Microsoft Corporation","20260419"
